"Total_Cost","Ratio_Reloc_Prod","Horiz_Cost","Vert_Cost","nReloc","non_Optimal"
237989.83,0.4513,47289.22,190700.74,677,1
565.65,0.0,70.65,495.0,0,0
692.77,0.2,135.08,557.69,1,0
892.41,0.6,179.08,713.33,3,0
786.28,0.4,165.89,620.38,2,0
733.02,0.4,89.95,643.08,2,0
540.28,0.0,75.54,464.74,0,0
666.45,0.2,108.76,557.69,1,0
848.84,0.6,127.95,720.9,3,0
695.63,0.2,130.38,565.26,1,0
635.42,0.0,178.24,457.18,0,0
643.5,0.2,78.24,565.26,1,0
1068.61,1.0,176.95,891.67,5,0
713.3,0.4,85.35,627.95,2,0
542.87,0.0,108.38,434.49,0,0
717.69,0.2,160.0,557.69,1,0
1282.16,1.2,312.68,969.49,6,0
925.36,0.8,111.51,813.85,4,0
946.86,0.6,203.27,743.59,3,0
993.52,0.8,179.68,813.85,4,0
932.56,0.8,148.97,783.59,4,0
864.1,0.6,173.46,690.64,3,0
1030.35,1.0,146.24,884.1,5,0
823.54,0.6,140.46,683.08,3,0
741.08,0.4,113.14,627.95,2,0
673.23,0.2,115.54,557.69,1,0
931.0,0.6,187.41,743.59,3,0
582.39,0.0,117.65,464.74,0,0
978.9,0.6,273.14,705.77,3,0
1250.44,1.2,303.65,946.79,6,0
576.36,0.0,104.05,472.31,0,0
809.08,0.4,173.57,635.51,2,0
815.42,0.4,149.65,665.77,2,0
563.78,0.0,114.16,449.62,0,0
579.03,0.0,152.11,426.92,0,0
474.87,0.0,55.51,419.36,0,0
521.24,0.0,86.76,434.49,0,0
497.03,0.0,62.54,434.49,0,0
494.11,0.0,59.62,434.49,0,0
1394.92,1.4,377.86,1017.05,7,0
1162.34,1.0,263.11,899.23,5,0
693.32,0.2,143.19,550.13,1,0
851.4,0.4,200.76,650.64,2,0
975.34,0.6,284.7,690.64,3,0
617.0,0.2,82.0,535.0,1,0
990.29,0.8,206.7,783.59,4,0
765.46,0.4,129.95,635.51,2,0
804.4,0.2,254.27,550.13,1,0
539.0,0.0,96.95,442.05,0,0
755.53,0.4,150.27,605.26,2,0
807.5,0.4,194.68,612.82,2,0
955.58,0.6,242.24,713.33,3,0
557.18,0.2,60.0,497.18,1,0
