"Total_Cost","Ratio_Reloc_Prod","Horiz_Cost","Vert_Cost","nReloc","non_Optimal"
222923.92,0.4507,33813.85,189110.03,676,39
543.17,0.0,55.73,487.44,0,0
686.53,0.2,136.41,550.13,1,0
806.56,0.6,108.35,698.21,3,0
757.0,0.4,129.05,627.95,2,0
750.64,0.4,92.43,658.21,2,0
530.42,0.0,58.11,472.31,0,0
634.37,0.2,84.24,550.13,1,0
863.52,0.6,135.05,728.46,3,1
654.65,0.2,112.08,542.56,1,0
648.94,0.0,191.76,457.18,0,0
542.01,0.0,62.14,479.87,0,0
976.98,1.0,123.14,853.85,5,0
711.49,0.4,83.54,627.95,2,0
555.32,0.0,113.27,442.05,0,0
706.99,0.2,149.3,557.69,1,0
1132.21,1.2,200.54,931.67,6,0
878.67,0.8,87.51,791.15,4,0
813.15,0.6,114.95,698.21,3,0
934.61,0.8,143.46,791.15,4,0
952.55,0.8,146.27,806.28,4,1
848.7,0.6,158.05,690.64,3,0
984.14,1.0,122.73,861.41,5,1
810.1,0.6,119.46,690.64,3,0
708.3,0.4,87.92,620.38,2,0
648.83,0.2,91.14,557.69,1,0
892.21,0.6,156.19,736.03,3,1
595.63,0.0,115.76,479.87,0,0
795.07,0.6,104.43,690.64,3,1
1092.65,1.2,176.11,916.54,6,0
579.12,0.0,99.24,479.87,0,0
783.91,0.4,133.27,650.64,2,0
735.02,0.4,76.81,658.21,2,0
503.14,0.0,76.22,426.92,0,0
530.65,0.0,96.16,434.49,0,0
565.07,0.0,115.46,449.62,0,0
661.64,0.2,103.95,557.69,1,0
561.02,0.2,63.84,497.18,1,0
722.88,0.6,77.62,645.26,3,0
1073.44,1.2,179.59,893.85,6,0
996.22,1.0,127.24,868.97,5,0
618.95,0.2,83.95,535.0,1,0
734.71,0.4,106.76,627.95,2,0
795.24,0.6,112.16,683.08,3,0
668.66,0.2,95.84,572.82,1,0
956.56,0.8,172.97,783.59,4,0
672.04,0.4,59.22,612.82,2,0
716.64,0.2,166.51,550.13,1,0
630.1,0.2,87.54,542.56,1,0
876.12,0.8,130.35,745.77,4,0
712.98,0.4,85.03,627.95,2,0
998.4,1.0,174.81,823.59,5,0
566.31,0.2,54.0,512.31,1,0
716.58,0.4,103.76,612.82,2,0
746.76,0.6,78.81,667.95,3,0
679.74,0.4,66.92,612.82,2,1
714.27,0.2,186.84,527.44,1,0
610.84,0.2,75.84,535.0,1,0
574.39,0.2,54.51,519.87,1,0
825.09,0.8,79.32,745.77,4,0
715.82,0.4,110.57,605.26,2,0
733.5,0.4,120.68,612.82,2,0
711.72,0.4,106.46,605.26,2,1
658.39,0.2,93.14,565.26,1,0
897.79,0.6,176.89,720.9,3,0
668.72,0.2,103.46,565.26,1,0
699.69,0.4,94.43,605.26,2,0
893.6,0.8,140.27,753.33,4,1
1031.66,1.0,192.95,838.72,5,0
867.9,0.8,114.57,753.33,4,1
516.95,0.0,82.46,434.49,0,0
626.84,0.4,59.41,567.44,2,0
717.24,0.4,81.73,635.51,2,0
821.91,0.8,98.84,723.08,4,0
1109.07,1.2,230.35,878.72,6,0
817.07,0.4,151.3,665.77,2,0
851.83,0.6,108.24,743.59,3,0
602.11,0.2,67.11,535.0,1,0
779.79,0.6,111.84,667.95,3,0
578.78,0.2,36.22,542.56,1,0
507.08,0.0,65.03,442.05,0,0
673.71,0.4,106.27,567.44,2,0
925.81,0.8,149.78,776.03,4,1
918.51,0.6,227.86,690.64,3,0
544.37,0.0,94.76,449.62,0,0
1358.63,1.8,231.32,1127.31,9,0
566.52,0.0,86.65,479.87,0,0
740.86,0.4,105.35,635.51,2,0
788.95,0.6,75.62,713.33,3,1
710.6,0.2,137.78,572.82,1,0
523.78,0.0,81.73,442.05,0,0
883.95,1.0,90.62,793.33,5,0
694.16,0.2,151.59,542.56,1,0
656.74,0.2,83.92,572.82,1,0
625.35,0.2,90.35,535.0,1,0
795.53,0.6,150.27,645.26,3,0
589.6,0.2,69.73,519.87,1,0
816.24,0.8,100.73,715.51,4,0
1165.61,1.4,186.38,979.23,7,0
1085.2,1.0,185.97,899.23,5,0
617.41,0.2,97.54,519.87,1,0
955.59,0.6,204.43,751.15,3,1
518.65,0.0,84.16,434.49,0,0
442.01,0.0,30.22,411.79,0,0
685.51,0.2,135.38,550.13,1,0
559.83,0.0,102.65,457.18,0,0
819.58,0.8,73.81,745.77,4,1
758.41,0.2,178.03,580.38,1,1
588.23,0.2,91.05,497.18,1,0
587.13,0.2,89.95,497.18,1,0
722.77,0.4,109.95,612.82,2,0
501.27,0.0,74.35,426.92,0,0
922.69,0.8,176.92,745.77,4,0
611.0,0.2,68.43,542.56,1,0
706.44,0.4,86.05,620.38,2,1
753.52,0.4,140.7,612.82,2,0
677.28,0.4,124.97,552.31,2,0
898.86,1.0,82.84,816.03,5,1
1027.28,1.2,125.86,901.41,6,0
806.32,0.6,115.68,690.64,3,1
686.47,0.2,113.65,572.82,1,0
537.56,0.2,55.51,482.05,1,0
464.58,0.0,45.22,419.36,0,0
839.88,0.6,141.68,698.21,3,0
734.06,0.4,113.68,620.38,2,0
842.0,0.6,113.54,728.46,3,0
985.12,1.0,138.84,846.28,5,0
826.98,0.4,146.08,680.9,2,0
1058.6,0.8,305.27,753.33,4,1
521.82,0.0,49.51,472.31,0,0
906.49,0.6,178.03,728.46,3,0
678.77,0.2,105.95,572.82,1,0
867.1,0.8,83.51,783.59,4,0
642.02,0.2,99.46,542.56,1,0
717.55,0.6,64.73,652.82,3,0
1003.31,1.2,109.46,893.85,6,0
621.4,0.2,63.7,557.69,1,0
650.99,0.2,100.86,550.13,1,0
683.65,0.2,141.08,542.56,1,0
590.04,0.2,77.73,512.31,1,0
